name,reach,impact,confidence,effort,description
基础记账（金额/名称/日期）,100,3,high,s,记录支出的基本信息
时间分摊功能,80,3,high,m,按天/周/月分摊支出
次数分摊功能,60,3,high,m,按使用次数分摊支出
标签系统,90,2,high,s,自定义标签和分类
基础统计图表,100,2,high,s,饼图、柱状图展示支出
家庭/群组功能,70,3,medium,l,多人记账和分摊
结算功能,70,3,medium,m,计算成员间应收应付
数据同步,100,3,high,m,多端数据实时同步
用户注册登录,100,3,high,s,手机号/邮箱/第三方登录
图片附件,50,1,medium,m,上传发票小票照片
语音记账,30,1,low,m,语音输入自动识别
导出报表,40,2,medium,s,导出Excel/PDF
预算提醒,60,2,medium,s,设置预算并提醒
趋势预测,30,2,low,l,AI预测支出趋势
深色模式,80,1,high,xs,界面深色主题
多币种支持,20,1,low,m,支持多种货币和汇率
